Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,1.000118,1.000648,0.999619,1.000077,1.000077,4446134900
2022-05-05,1.000066,1.000605,0.999381,0.999958,0.999958,5202645491
2022-05-06,0.999947,1.000608,0.999523,1.000072,1.000072,5376284197
2022-05-07,1.000065,1.000427,0.999617,0.999906,0.999906,3623126811
2022-05-08,0.999918,1.000631,0.999548,1.000087,1.000087,5432001418
2022-05-09,0.999994,1.000682,0.999376,0.999595,0.999595,8493986111
2022-05-10,0.999576,1.000685,0.999278,0.999828,0.999828,8611992228
2022-05-11,0.999785,1.001350,0.999253,1.000766,1.000766,15143285239
2022-05-12,1.000777,1.011434,0.999531,1.000659,1.000659,18612052637
2022-05-13,1.000601,1.001901,0.999637,1.000347,1.000347,8025797259
2022-05-14,1.000418,1.000977,0.999695,1.000381,1.000381,5734214071
2022-05-15,1.000368,1.001026,0.999863,1.000183,1.000183,4610661832
2022-05-16,1.000195,1.000816,0.999740,1.000581,1.000581,6650512579
2022-05-17,1.000623,1.001045,0.999940,1.000219,1.000219,5271575140
2022-05-18,1.000219,1.000799,0.999771,0.999771,0.999771,5791540700
2022-05-19,0.999810,1.000822,0.999810,1.000269,1.000269,6580258237
2022-05-20,1.000278,1.000887,0.999787,0.999907,0.999907,5519038708
2022-05-21,0.999944,1.000862,0.999866,1.000266,1.000266,3085866979
2022-05-22,1.000255,1.000834,0.999937,1.000092,1.000092,3493584223
2022-05-23,1.000115,1.000906,0.999728,1.000141,1.000141,5594245864
2022-05-24,1.000149,1.000907,0.999738,1.000179,1.000179,4616931095
2022-05-25,1.000177,1.001007,0.999778,0.999821,0.999821,4580073336
2022-05-26,0.999838,1.001172,0.999740,0.999930,0.999930,6850921932
2022-05-27,0.999964,1.001228,0.999705,1.000403,1.000403,6832701659
2022-05-28,1.000251,1.000847,0.999838,1.000150,1.000150,4367920911
2022-05-29,1.000149,1.000826,0.999828,1.000586,1.000586,3972282488
2022-05-30,1.000568,1.000871,0.999582,1.000099,1.000099,6484139842
2022-05-31,1.000080,1.000776,0.999774,1.000210,1.000210,5896228360
2022-06-01,1.000216,1.000718,0.999712,1.000130,1.000130,6158677984
2022-06-02,1.000140,1.000808,0.999824,1.000224,1.000224,4994899697
2022-06-03,1.000272,1.000761,0.999765,1.000143,1.000143,4266590882
2022-06-04,1.000175,1.000726,0.999828,1.000243,1.000243,3190396150
2022-06-05,1.000205,1.000960,0.999882,1.000144,1.000144,3227635578
2022-06-06,1.000140,1.000834,0.999664,1.000082,1.000082,4623471415
2022-06-07,1.000089,1.000847,0.999742,1.000103,1.000103,5926284249
2022-06-08,1.000044,1.000830,0.999794,1.000218,1.000218,4466105669
2022-06-09,1.000212,1.000632,0.999747,1.000244,1.000244,3391661643
2022-06-10,1.000208,1.000477,0.999698,1.000063,1.000063,4483108536
2022-06-11,1.000088,1.001088,0.999738,1.000090,1.000090,4801662884
2022-06-12,1.000195,1.000915,0.999527,1.000049,1.000049,6008997676
2022-06-13,0.999974,1.001117,0.999501,1.000434,1.000434,13815639937
2022-06-14,1.000503,1.001226,0.999592,1.000728,1.000728,9261666900
2022-06-15,1.000643,1.001340,0.999777,1.000704,1.000704,10865090032
2022-06-16,1.000711,1.000909,0.999789,1.000368,1.000368,6216714654
2022-06-17,1.000449,1.001064,0.999922,1.000208,1.000208,5283451774
2022-06-18,1.000151,1.001324,0.999587,1.000315,1.000315,7168140282
2022-06-19,1.000258,1.001096,0.999896,1.000404,1.000404,6073489273
