Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,0.998765,1.002328,0.998584,0.999468,0.999468,4710352627
2022-05-05,0.999452,1.002171,0.998043,0.999619,0.999619,5751936759
2022-05-06,0.999647,1.001958,0.997853,1.000411,1.000411,4736115059
2022-05-07,1.000404,1.007155,0.998057,0.999725,0.999725,7651705097
2022-05-08,0.999736,1.001930,0.997955,1.000291,1.000291,10452215427
2022-05-09,1.000246,1.002361,0.997820,1.000854,1.000854,8100176556
2022-05-10,1.000819,1.002232,0.998038,0.999719,0.999719,8730362344
2022-05-11,0.999599,1.004694,0.998226,1.002981,1.002981,15589615018
2022-05-12,1.002993,1.024690,1.000623,1.003663,1.003663,19141081792
2022-05-13,1.003533,1.004450,0.999215,1.001200,1.001200,9868896598
2022-05-14,1.001222,1.003505,0.999192,1.000330,1.000330,12584143003
2022-05-15,1.000339,1.003037,0.998940,1.000460,1.000460,8030119560
2022-05-16,1.000471,1.002737,0.998570,0.999532,0.999532,8968771547
2022-05-17,0.999582,1.002620,0.998904,1.001801,1.001801,6186204948
2022-05-18,1.001822,1.002772,0.998683,1.001879,1.001879,5858486740
2022-05-19,1.002008,1.002568,0.999111,1.000839,1.000839,7128537722
2022-05-20,1.000857,1.002492,0.998990,1.000234,1.000234,6067105966
2022-05-21,1.000320,1.002100,0.998629,1.000500,1.000500,3634961961
2022-05-22,1.000534,1.002316,0.998959,1.001496,1.001496,5907534747
2022-05-23,1.001499,1.002323,0.998847,1.000629,1.000629,7517762774
2022-05-24,1.000641,1.002192,0.998613,0.999567,0.999567,5019654714
2022-05-25,0.999584,1.001940,0.998617,0.999034,0.999034,5322160200
2022-05-26,0.999045,1.002272,0.998713,1.000228,1.000228,6748914760
2022-05-27,1.000261,1.001944,0.998709,1.000368,1.000368,6183776987
2022-05-28,0.999929,1.002405,0.998748,1.001823,1.001823,3098142540
2022-05-29,1.001804,1.002733,0.998843,1.001082,1.001082,3122801413
2022-05-30,1.001050,1.002113,0.998828,1.001566,1.001566,6441103252
2022-05-31,1.001568,1.002187,0.998434,1.000010,1.000010,6529694566
2022-06-01,1.000027,1.002332,0.998620,1.000759,1.000759,7440818455
2022-06-02,1.000761,1.002126,0.998396,1.001968,1.001968,4667275756
2022-06-03,1.001978,1.002480,0.998935,0.999836,0.999836,3966721500
2022-06-04,0.999885,1.002648,0.998697,1.000861,1.000861,2498217083
2022-06-05,1.000860,1.002909,0.998716,1.002103,1.002103,2621810817
2022-06-06,1.002125,1.002518,0.998564,1.001228,1.001228,4632444530
2022-06-07,1.001215,1.002380,0.998413,0.999621,0.999621,6836652197
2022-06-08,0.999512,1.002417,0.998614,1.001027,1.001027,5155728236
2022-06-09,1.001032,1.002368,0.998503,1.001330,1.001330,4601384135
2022-06-10,1.001321,1.002771,0.998607,0.999173,0.999173,4695773420
2022-06-11,0.999187,1.001618,0.998572,1.000670,1.000670,4425812631
2022-06-12,1.000723,1.002890,0.998743,1.000906,1.000906,5731962347
2022-06-13,1.000911,1.002738,0.998537,1.000712,1.000712,11519495508
2022-06-14,1.000721,1.002951,0.998718,1.001595,1.001595,7615185011
2022-06-15,1.001555,1.003085,0.998549,0.999880,0.999880,8552268807
2022-06-16,0.999862,1.002712,0.998912,0.999597,0.999597,5406986455
2022-06-17,0.999646,1.002957,0.998904,1.000492,1.000492,5008980631
2022-06-18,1.000454,1.003047,0.998555,1.000207,1.000207,6605490616
2022-06-19,1.000188,1.002857,0.999129,0.999892,0.999892,5147188373
2022-06-20,0.999887,1.003093,0.998719,0.999267,0.999267,5135462320
2022-06-21,0.999250,1.002528,0.998396,0.998707,0.998707,5013113114
2022-06-22,0.998730,1.002091,0.998555,1.000220,1.000220,4345858266
2022-06-23,1.000225,1.002084,0.998694,0.999304,0.999304,4346458681
2022-06-24,0.999307,1.002475,0.998813,1.001702,1.001702,4690445711
2022-06-25,1.001742,1.002119,0.998824,1.000150,1.000150,3310831487
2022-06-26,1.000174,1.002512,0.998108,1.000705,1.000705,3392421095
2022-06-27,1.000685,1.001892,0.998370,0.999397,0.999397,4737933957
2022-06-28,0.999364,1.003026,0.998777,0.999807,0.999807,4847156949
2022-06-29,0.999795,1.002612,0.998860,1.000421,1.000421,6188661840
2022-06-30,1.000437,1.002777,0.998631,1.001414,1.001414,6202546205
2022-07-01,1.001441,1.002391,0.998651,1.001781,1.001781,5260378585
2022-07-02,1.001802,1.002728,0.998796,1.000318,1.000318,3881252912
2022-07-03,1.000315,1.002807,0.998666,0.999287,0.999287,3731656763
2022-07-04,0.999311,1.002412,0.998662,1.000192,1.000192,4532801976
2022-07-05,1.000202,1.002487,0.998917,1.000336,1.000336,5028050090
2022-07-06,1.000354,1.002757,0.998772,1.000704,1.000704,4756293945
2022-07-07,1.000696,1.002445,0.998557,1.000794,1.000794,5198122168
2022-07-08,1.000790,1.002500,0.998580,0.999748,0.999748,6411440193
2022-07-09,0.999822,1.001568,0.998671,0.998908,0.998908,4461460302
2022-07-10,0.998901,1.002461,0.998528,1.001679,1.001679,4484473153
2022-07-11,1.001625,1.002307,0.998662,1.001347,1.001347,4304223676
2022-07-12,1.001385,1.002749,0.998663,1.000083,1.000083,4772113280
2022-07-13,1.000091,1.002665,0.998525,1.000329,1.000329,5865390079
2022-07-14,1.000341,1.002607,0.998603,1.000194,1.000194,5763579045
2022-07-15,1.000211,1.002290,0.998533,0.999227,0.999227,5746399176
2022-07-16,0.999180,1.001983,0.998133,1.000929,1.000929,4914750577
2022-07-17,1.000930,1.002147,0.998013,1.000387,1.000387,4716284406
2022-07-18,1.000387,1.002329,0.998259,0.999993,0.999993,7824000522
2022-07-19,0.999943,1.001948,0.998278,1.001252,1.001252,8650828628
2022-07-20,1.001231,1.001399,0.998247,1.000516,1.000516,8537816725
2022-07-21,1.000516,1.001297,0.998170,1.000044,1.000044,6365773600
2022-07-22,1.000061,1.002026,0.995809,0.999257,0.999257,6286215043
2022-07-23,0.999148,1.001555,0.997806,0.999135,0.999135,4574101551
2022-07-24,0.999127,1.002223,0.998278,1.001183,1.001183,4727016296
2022-07-25,1.001158,1.001694,0.998172,1.001207,1.001207,5660205816
2022-07-26,1.001275,1.001520,0.998108,1.001513,1.001513,5204855964
2022-07-27,1.001488,1.002463,0.997995,0.998013,0.998013,7739121672
2022-07-28,0.998029,1.001978,0.997995,0.998910,0.998910,8590307252
2022-07-29,0.998903,1.001567,0.998199,0.999210,0.999210,8913658107
2022-07-30,0.999217,1.001481,0.998006,0.999874,0.999874,6503236647
2022-07-31,0.999880,1.001761,0.997993,0.999321,0.999321,6199044656
2022-08-01,0.999345,1.001709,0.998118,1.001188,1.001188,6732350584
2022-08-02,1.001184,1.001320,0.998173,0.999920,0.999920,6645412034
2022-08-03,0.999964,1.000385,0.999575,0.999949,0.999949,5485365451
2022-08-04,0.999919,1.000782,0.999531,1.000103,1.000103,5745937403
2022-08-05,1.000009,1.000604,0.999348,0.999976,0.999976,5455954302
2022-08-06,1.000183,1.000606,0.999220,0.999979,0.999979,3687174602
2022-08-07,1.000075,1.000857,0.999456,0.999857,0.999857,3175297520
2022-08-08,0.999915,1.000767,0.999298,1.000259,1.000259,5526283556
2022-08-09,1.000320,1.001123,0.999498,1.000029,1.000029,5475918085
2022-08-10,1.000052,1.000577,0.999417,1.000012,1.000012,7626356466
2022-08-11,0.999999,1.000478,0.999352,0.999848,0.999848,7201370519
2022-08-12,0.999849,1.000384,0.999340,0.999839,0.999839,5193684859
2022-08-13,0.999864,1.000265,0.999487,1.000263,1.000263,5407307110
2022-08-14,1.000210,1.000361,0.999457,0.999858,0.999858,5112255401
2022-08-15,0.999930,1.000467,0.999565,0.999856,0.999856,6209795580
2022-08-16,0.999858,1.000487,0.999461,0.999993,0.999993,5601078041
2022-08-17,1.000016,1.000622,0.999484,1.000079,1.000079,5804551198
2022-08-18,1.000106,1.000916,0.999570,1.000258,1.000258,4491889715
2022-08-19,1.000301,1.001314,0.998632,1.000175,1.000175,7543538943
2022-08-20,1.000162,1.000823,0.999860,1.000105,1.000105,4443917854
2022-08-21,1.000064,1.000562,0.999699,1.000075,1.000075,4140857537
2022-08-22,1.000019,1.000755,0.999487,1.000266,1.000266,4859670365
2022-08-23,1.000252,1.000812,0.999465,0.999847,0.999847,4782594109
2022-08-24,0.999862,1.000977,0.999454,1.000138,1.000138,4859837991
2022-08-25,1.000146,1.000666,0.999476,1.000151,1.000151,4230243446
2022-08-26,1.000199,1.000893,0.999698,1.000071,1.000071,10264830869
2022-08-27,1.000049,1.000721,0.999540,1.000245,1.000245,5418792299
2022-08-28,1.000199,1.000877,0.999723,1.000509,1.000509,3901333042
2022-08-29,1.000247,1.000885,0.999415,1.000106,1.000106,5680701100
2022-08-30,1.000037,1.000918,0.999647,0.999953,0.999953,7193385316
2022-08-31,1.000137,1.000832,0.999635,1.000281,1.000281,7506760903
2022-09-01,1.000276,1.000919,0.999296,1.000440,1.000440,7713153850
2022-09-02,1.000378,1.000649,0.999713,1.000231,1.000231,6970190867
2022-09-03,1.000190,1.000548,0.999642,1.000039,1.000039,4080792726
2022-09-04,1.000064,1.000728,0.999828,1.000248,1.000248,4345105641
2022-09-05,1.000252,1.000820,0.999683,1.000054,1.000054,6960859086
2022-09-06,1.000057,1.000791,0.999654,0.999975,0.999975,10063711703
2022-09-07,0.999927,1.000914,0.999593,1.000205,1.000205,9439836894
2022-09-08,1.000165,1.001474,0.999620,0.999888,0.999888,9877119980
2022-09-09,1.000124,1.001088,0.999338,0.999957,0.999957,14598870317
2022-09-10,0.999923,1.000488,0.999675,0.999978,0.999978,9634577353
2022-09-11,0.999915,1.000414,0.999411,0.999860,0.999860,8265336407
2022-09-12,0.999893,1.000481,0.999427,1.000244,1.000244,11986192446
2022-09-13,1.000240,1.000477,0.999433,1.000244,1.000244,13203751025
2022-09-14,1.000014,1.001168,0.998840,0.999896,0.999896,9927670952
2022-09-15,0.999775,1.001367,0.998978,1.000128,1.000128,10207015562
2022-09-16,0.999697,1.001387,0.998765,1.000382,1.000382,8969002446
2022-09-17,0.999470,1.001256,0.999043,0.999880,0.999880,5929154239
