Date,Open,High,Low,Close,Adj Close,Volume
2022-05-04,1.000021,1.000142,0.999940,1.000038,1.000038,72222517203
2022-05-05,1.000039,1.000197,0.999920,0.999988,0.999988,85679638685
2022-05-06,0.999990,1.000215,0.999916,0.999982,0.999982,81327879764
2022-05-07,0.999971,1.000049,0.999774,0.999921,0.999921,57202594793
2022-05-08,0.999919,1.000063,0.999740,0.999854,0.999854,77900163502
2022-05-09,0.999870,1.000134,0.999770,0.999909,0.999909,120710294040
2022-05-10,0.999945,1.000134,0.999709,0.999791,0.999791,128692083965
2022-05-11,0.999790,0.999996,0.993459,0.995872,0.995872,159700404396
2022-05-12,0.995879,0.997736,0.948486,0.997609,0.997609,141052751792
2022-05-13,0.997527,0.999193,0.996945,0.998239,0.998239,87009885196
2022-05-14,0.998242,0.998971,0.997791,0.998780,0.998780,60781876668
2022-05-15,0.998780,0.999077,0.998492,0.999069,0.999069,53979914930
2022-05-16,0.999084,0.999153,0.998659,0.998779,0.998779,62504490441
2022-05-17,0.998772,0.999107,0.998650,0.998909,0.998909,55745978864
2022-05-18,0.998902,0.999150,0.998542,0.998802,0.998802,56067250693
2022-05-19,0.998786,0.999122,0.998550,0.998971,0.998971,59651836770
2022-05-20,0.998956,0.999370,0.998700,0.998818,0.998818,54960961209
2022-05-21,0.998894,0.999038,0.998599,0.998793,0.998793,34924240134
2022-05-22,0.998787,0.999121,0.998590,0.999066,0.999066,40965864100
2022-05-23,0.999065,0.999294,0.998829,0.999088,0.999088,58585612765
2022-05-24,0.999048,0.999204,0.998847,0.999107,0.999107,51053417289
2022-05-25,0.999093,0.999185,0.998817,0.998976,0.998976,50311844127
2022-05-26,0.998967,0.999212,0.998783,0.998907,0.998907,67771285444
2022-05-27,0.998902,0.999184,0.998787,0.998863,0.998863,67961870830
2022-05-28,0.999011,0.999189,0.998779,0.999002,0.999002,37159842905
2022-05-29,0.999008,0.999246,0.998909,0.999178,0.999178,34572061153
2022-05-30,0.999187,0.999497,0.998958,0.999376,0.999376,65155466235
2022-05-31,0.999378,0.999493,0.999285,0.999388,0.999388,62841794272
2022-06-01,0.999381,0.999502,0.998869,0.999260,0.999260,68866735590
2022-06-02,0.999232,0.999491,0.999104,0.999317,0.999317,50520845556
2022-06-03,0.999295,0.999491,0.999022,0.999170,0.999170,43789145735
2022-06-04,0.999174,0.999357,0.999032,0.999313,0.999313,30834183068
2022-06-05,0.999309,0.999358,0.999194,0.999296,0.999296,30872185296
2022-06-06,0.999286,0.999537,0.999221,0.999311,0.999311,51540243030
2022-06-07,0.999298,0.999571,0.999147,0.999414,0.999414,67008901675
2022-06-08,0.999415,0.999564,0.999199,0.999262,0.999262,52176620958
2022-06-09,0.999273,0.999499,0.999159,0.999314,0.999314,42359067750
2022-06-10,0.999352,0.999445,0.999109,0.999180,0.999180,49685289881
2022-06-11,0.999182,0.999308,0.999009,0.999025,0.999025,48736816876
2022-06-12,0.999014,0.999149,0.998842,0.999080,0.999080,59051274983
2022-06-13,0.999069,0.999126,0.997547,0.998594,0.998594,107410569162
2022-06-14,0.998602,0.999108,0.998555,0.998954,0.998954,81024425505
2022-06-15,0.998934,0.999023,0.998183,0.998942,0.998942,89017006423
2022-06-16,0.998920,0.999134,0.998642,0.998930,0.998930,52400892767
2022-06-17,0.998951,0.999074,0.998681,0.999036,0.999036,43836219287
2022-06-18,0.999018,0.999045,0.998454,0.998667,0.998667,61973128141
2022-06-19,0.998656,0.999012,0.998470,0.998969,0.998969,55603476684
2022-06-20,0.998947,0.999111,0.998629,0.998957,0.998957,52157987688
2022-06-21,0.998971,0.999206,0.998898,0.999094,0.999094,50165859626
2022-06-22,0.999093,0.999126,0.998872,0.999095,0.999095,46130025676
2022-06-23,0.999096,0.999328,0.998898,0.999280,0.999280,43198538082
2022-06-24,0.999259,0.999504,0.999137,0.999325,0.999325,46919267632
2022-06-25,0.999336,0.999611,0.999273,0.999548,0.999548,36390241725
2022-06-26,0.999551,0.999595,0.999374,0.999398,0.999398,37228683270
2022-06-27,0.999458,0.999599,0.998984,0.999092,0.999092,39296953700
2022-06-28,0.999104,0.999134,0.998782,0.998832,0.998832,40773930242
2022-06-29,0.998844,0.999058,0.998519,0.998884,0.998884,44380636377
2022-06-30,0.998888,0.999093,0.998762,0.998819,0.998819,45578518327
2022-07-01,0.998860,0.999137,0.998705,0.998867,0.998867,49683415220
2022-07-02,0.998855,0.999119,0.998827,0.998960,0.998960,31666712588
2022-07-03,0.998953,0.999128,0.998891,0.999078,0.999078,27890770459
2022-07-04,0.999071,0.999223,0.998991,0.999109,0.999109,37816157114
2022-07-05,0.999118,0.999248,0.998936,0.999092,0.999092,46794873591
2022-07-06,0.999095,0.999221,0.998960,0.999098,0.999098,41932894214
2022-07-07,0.999089,0.999506,0.999019,0.999446,0.999446,41395542117
2022-07-08,0.999411,0.999576,0.999285,0.999418,0.999418,64720676603
2022-07-09,0.999422,0.999572,0.999333,0.999538,0.999538,38957001478
2022-07-10,0.999539,0.999629,0.999396,0.999465,0.999465,40170710077
2022-07-11,0.999456,0.999576,0.999128,0.999225,0.999225,38726869251
2022-07-12,0.999225,0.999380,0.999118,0.999343,0.999343,40368791506
2022-07-13,0.999342,0.999429,0.999157,0.999384,0.999384,51757860849
2022-07-14,0.999394,0.999540,0.999302,0.999407,0.999407,49222660233
2022-07-15,0.999385,0.999744,0.999347,0.999706,0.999706,45982487607
2022-07-16,0.999701,0.999880,0.999683,0.999774,0.999774,44126749597
2022-07-17,0.999779,0.999863,0.999677,0.999734,0.999734,42189248625
2022-07-18,0.999726,0.999970,0.999693,0.999777,0.999777,70390606911
2022-07-19,0.999785,1.000124,0.999764,1.000092,1.000092,77160548741
2022-07-20,1.000096,1.000249,1.000002,1.000068,1.000068,68306872702
2022-07-21,1.000053,1.000138,0.999949,1.000080,1.000080,55292189306
2022-07-22,1.000082,1.000177,1.000027,1.000052,1.000052,51645071119
2022-07-23,1.000052,1.000146,0.999984,1.000036,1.000036,43014917183
2022-07-24,1.000034,1.000118,0.999930,1.000035,1.000035,41955275140
2022-07-25,1.000038,1.000122,1.000006,1.000062,1.000062,56307512994
2022-07-26,1.000067,1.000128,0.999996,1.000047,1.000047,48266723630
2022-07-27,1.000048,1.000328,0.999980,1.000274,1.000274,60104591185
2022-07-28,1.000288,1.000360,1.000123,1.000200,1.000200,75754591120
2022-07-29,1.000205,1.000346,1.000169,1.000311,1.000311,72013108986
2022-07-30,1.000310,1.000352,1.000217,1.000289,1.000289,57489826931
2022-07-31,1.000280,1.000338,1.000200,1.000328,1.000328,52267348020
2022-08-01,1.000322,1.000368,1.000125,1.000204,1.000204,50882756969
2022-08-02,1.000210,1.000319,1.000133,1.000159,1.000159,54793315279
2022-08-03,1.000148,1.000272,1.000117,1.000204,1.000204,47717439471
2022-08-04,1.000207,1.000285,1.000053,1.000133,1.000133,44526180493
2022-08-05,1.000112,1.000159,1.000032,1.000042,1.000042,49723473321
2022-08-06,1.000038,1.000165,1.000038,1.000125,1.000125,32961917502
2022-08-07,1.000128,1.000181,1.000068,1.000144,1.000144,29901528651
2022-08-08,1.000159,1.000227,1.000097,1.000177,1.000177,50243147547
2022-08-09,1.000169,1.000244,1.000118,1.000209,1.000209,46070684571
2022-08-10,1.000205,1.000562,1.000151,1.000253,1.000253,60085173824
2022-08-11,1.000251,1.000504,1.000243,1.000406,1.000406,64445391375
2022-08-12,1.000401,1.000473,1.000245,1.000336,1.000336,46783370955
2022-08-13,1.000342,1.000574,1.000250,1.000376,1.000376,41593883061
2022-08-14,1.000367,1.000401,1.000226,1.000271,1.000271,43866838979
2022-08-15,1.000260,1.000354,1.000125,1.000174,1.000174,57703388667
2022-08-16,1.000169,1.000325,1.000045,1.000115,1.000115,46945222159
2022-08-17,1.000125,1.000132,0.999997,1.000073,1.000073,53355167557
2022-08-18,1.000072,1.000119,0.999935,0.999999,0.999999,43149679443
2022-08-19,0.999991,1.000175,0.999946,1.000060,1.000060,64302127382
2022-08-20,1.000053,1.000133,0.999973,0.999974,0.999974,64302127382
2022-08-21,0.999974,1.000161,0.999942,0.999994,0.999994,45699064002
2022-08-22,0.999999,1.000114,0.999891,0.999984,0.999984,51710064329
2022-08-23,0.999983,1.000050,0.999886,0.999992,0.999992,52978066914
2022-08-24,0.999992,1.000105,0.999955,1.000039,1.000039,48708536003
2022-08-25,1.000034,1.000130,0.999959,1.000080,1.000080,45854093190
2022-08-26,1.000078,1.000139,0.999973,1.000043,1.000043,62406193046
2022-08-27,1.000056,1.000140,0.999971,1.000019,1.000019,43316381517
2022-08-28,1.000015,1.000087,0.999965,1.000028,1.000028,34337927087
2022-08-29,1.000051,1.000091,0.999968,1.000032,1.000032,45837060552
2022-08-30,1.000039,1.000234,0.999977,1.000081,1.000081,50170084207
2022-08-31,1.000090,1.000163,0.999974,1.000016,1.000016,48405934722
2022-09-01,1.000014,1.000117,0.999968,1.000010,1.000010,44702355872
2022-09-02,0.999996,1.000120,0.999948,1.000089,1.000089,44468235183
2022-09-03,1.000089,1.000120,1.000034,1.000074,1.000074,30873646175
2022-09-04,1.000076,1.000101,0.999975,1.000061,1.000061,31495577330
2022-09-05,1.000062,1.000092,0.999966,1.000038,1.000038,39598045837
2022-09-06,1.000027,1.000093,0.999967,1.000049,1.000049,64015343588
2022-09-07,1.000011,1.000178,0.999987,1.000109,1.000109,52755357561
2022-09-08,1.000097,1.000173,1.000014,1.000102,1.000102,49640976411
2022-09-09,1.000096,1.000303,1.000055,1.000235,1.000235,70683518131
2022-09-10,1.000235,1.000420,1.000167,1.000281,1.000281,53524443076
2022-09-11,1.000279,1.000343,1.000222,1.000276,1.000276,47160062304
2022-09-12,1.000281,1.000323,1.000098,1.000204,1.000204,66834639114
2022-09-13,1.000161,1.000340,0.999992,1.000025,1.000025,71413926112
2022-09-14,1.000038,1.000213,0.999974,1.000142,1.000142,55170613417
2022-09-15,1.000138,1.000275,0.999939,1.000003,1.000003,60606622307
2022-09-16,1.000002,1.000095,0.999891,0.999981,0.999981,46290851147
2022-09-17,0.999982,1.000137,0.999945,1.000098,1.000098,34904822689
2022-09-18,1.000096,1.000145,0.999949,1.000023,1.000023,46056427438
2022-09-19,1.000008,1.000175,0.999945,1.000106,1.000106,56769197831
2022-09-20,1.000104,1.000194,1.000037,1.000060,1.000060,50515394641
2022-09-21,1.000055,1.000194,1.000033,1.000086,1.000086,63560607050
2022-09-22,1.000106,1.000172,0.999971,0.999984,0.999984,54330130153
2022-09-23,0.999994,1.000048,0.999946,0.999981,0.999981,58265731392
2022-09-24,0.999982,1.000102,0.999955,1.000050,1.000050,39015165939
2022-09-25,1.000053,1.000137,1.000024,1.000055,1.000055,35041309688
2022-09-26,1.000047,1.000157,0.999950,0.999990,0.999990,57810071895
2022-09-27,0.999984,1.000096,0.999951,0.999980,0.999980,71681603882
2022-09-28,0.999978,1.000052,0.999911,0.999976,0.999976,65738293663
2022-09-29,0.999997,1.000097,0.999928,1.000079,1.000079,52649004466
2022-09-30,1.000076,1.000165,1.000009,1.000049,1.000049,55223655589
2022-10-01,1.000062,1.000107,0.999956,1.000043,1.000043,27312920843
2022-10-02,1.000045,1.000106,0.999948,1.000060,1.000060,30109417396
2022-10-03,1.000056,1.000158,0.999984,1.000089,1.000089,40191505534
2022-10-04,1.000091,1.000256,1.000065,1.000251,1.000251,44505643606
2022-10-05,1.000250,1.000305,1.000052,1.000109,1.000109,41883470473
2022-10-06,1.000105,1.000224,1.000088,1.000143,1.000143,43958843047
