Date,Open,High,Low,Close,Adj Close,Volume
2022-06-06,1766.238647,1866.524048,1764.099854,1813.786377,1813.786377,848898
2022-06-07,1813.913330,1816.313843,1681.870483,1774.346924,1774.346924,1175565
2022-06-08,1774.367554,1787.760376,1729.250488,1743.578979,1743.578979,1786201
2022-06-09,1743.433716,1776.372559,1730.044067,1733.318481,1733.318481,11789040
2022-06-10,1733.317871,1746.163452,1567.719116,1574.478149,1574.478149,7970368
2022-06-11,1574.478638,1597.479370,1441.766235,1470.475708,1470.475708,6957730
2022-06-12,1470.821777,1479.074951,1378.107178,1391.470215,1391.470215,9928512
2022-06-13,1390.690552,1393.591919,1099.630859,1151.901367,1151.901367,12229567
2022-06-14,1152.082520,1187.363647,1032.505005,1151.992188,1151.992188,6269785
2022-06-15,1151.988403,1162.209595,959.763489,1155.190186,1155.190186,7480099
2022-06-16,1155.845947,1171.951416,995.422485,1006.152344,1006.152344,5813939
2022-06-17,1005.947205,1042.934570,984.610596,1023.429749,1023.429749,3418782
2022-06-18,1023.429077,1027.473755,828.669067,931.387695,931.387695,6295063
2022-06-19,931.385010,1079.398438,881.741699,1056.487427,1056.487427,2948479
2022-06-20,1056.483887,1093.182983,994.796570,1065.316895,1065.316895,2171190
2022-06-21,1064.488037,1122.088867,1045.813354,1062.247314,1062.247314,2153402
2022-06-22,1062.472778,1063.716919,990.004272,995.939392,995.939392,2533742
2022-06-23,996.838989,1095.258789,996.187866,1090.671021,1090.671021,2142381
2022-06-24,1090.255493,1193.326538,1088.521118,1177.943726,1177.943726,2098116
2022-06-25,1177.947266,1205.013062,1140.431641,1200.802856,1200.802856,1597382
2022-06-26,1200.501465,1231.773193,1156.985718,1157.175903,1157.175903,1422461
2022-06-27,1157.085571,1193.692627,1138.039185,1150.995850,1150.995850,1261678
2022-06-28,1150.974854,1186.821655,1094.870361,1097.703857,1097.703857,1256076
2022-06-29,1097.592651,1108.940186,1044.742676,1057.350830,1057.350830,1132487
2022-06-30,1057.732422,1062.493774,968.517273,1028.611694,1028.611694,1552586
2022-07-01,1028.976440,1061.545288,1002.893799,1021.737244,1021.737244,1606213
2022-07-02,1021.778870,1035.000732,995.764954,1029.731079,1029.731079,815421
2022-07-03,1029.653687,1047.953247,1007.677856,1040.700439,1040.700439,711187
2022-07-04,1040.697876,1119.962524,1014.660034,1117.432861,1117.432861,1169934
2022-07-05,1116.506958,1132.485352,1063.934082,1099.648071,1099.648071,1614146
2022-07-06,1099.865356,1166.260864,1080.111572,1154.847534,1154.847534,1087663
2022-07-07,1154.963257,1218.057495,1132.934448,1206.625610,1206.625610,1851857
2022-07-08,1206.625610,1237.423218,1158.199097,1187.248169,1187.248169,2572813
2022-07-09,1186.740601,1196.220825,1172.450439,1182.884521,1182.884521,888957
2022-07-10,1182.808472,1183.307739,1126.129395,1135.286499,1135.286499,923946
2022-07-11,1135.272705,1135.272705,1063.693726,1065.784180,1065.784180,1260511
2022-07-12,1065.897583,1066.867798,997.373596,997.488281,997.488281,1379612
2022-07-13,997.392822,1073.393433,979.349792,1073.393433,1073.393433,2947677
2022-07-14,1073.116943,1165.544434,1036.294800,1151.892944,1151.892944,1595886
2022-07-15,1152.077271,1239.133911,1142.663330,1194.768066,1194.768066,2550101
2022-07-16,1194.827026,1336.887939,1158.985962,1316.740601,1316.740601,3833987
2022-07-17,1316.885620,1340.088257,1293.637573,1306.272705,1306.272705,4553805
2022-07-18,1306.279419,1539.231201,1306.279419,1539.231201,1539.231201,8075717
2022-07-19,1540.243896,1569.525635,1464.067505,1508.945313,1508.945313,4883691
2022-07-20,1508.944092,1580.394165,1466.711670,1487.754150,1487.754150,3218537
2022-07-21,1488.441895,1541.120239,1438.037109,1523.655762,1523.655762,2081965
2022-07-22,1523.658691,1573.836548,1485.464355,1495.597046,1495.597046,1599982
2022-07-23,1495.213135,1553.749512,1464.162842,1522.932251,1522.932251,1073612
2022-07-24,1522.931763,1626.156494,1520.113403,1571.570190,1571.570190,1800542
2022-07-25,1571.566406,1573.181030,1415.890991,1415.890991,1415.890991,1276582
2022-07-26,1416.079712,1417.266724,1334.386353,1416.864014,1416.864014,1662689
2022-07-27,1417.608887,1603.901489,1395.893677,1603.899780,1603.899780,2016553
2022-07-28,1603.754028,1733.252075,1563.652100,1684.330322,1684.330322,3623957
